#,Name / Handle,Platform,Profile URL,Est. Followers,Genre / Niche,Date Sent,Replied?,Signed Up?,Follow-Up Sent?,Notes
1,Type Beats Trap,YouTube,https://youtube.com/channel/UCjep22FDh6v-KbjcMYr4nWA,~8K,Trap / Travis Scott style,,,,,"Active uploader — find their IG/Twitter to DM"
2,Brownsville Beats,YouTube,https://youtube.com/@BrownsvilleTypeBeats,~3K,Trap / Drill niche,,,,,"Atlanta-based free beats channel — find socials"
3,NOHTAG,Gumroad,https://nohtag.gumroad.com,Unknown,Trap City style,,,,,"Sells on Gumroad — find their social media to DM"
4,ProDraven,Gumroad,https://prodraven.gumroad.com,Unknown,Dark Trap,,,,,"Gumroad seller — find IG or Twitter handle"
5,[BeatStars Find],BeatStars,beatstars.com,500–2K,Any,,,,,"Go to BeatStars → Browse → Beats → sort by Trending → click producers → DM top uploaders with 500–5K followers"
6,[BeatStars Find],BeatStars,beatstars.com,500–2K,Any,,,,,
7,[BeatStars Find],BeatStars,beatstars.com,500–2K,Any,,,,,
8,[YouTube Find],YouTube,,1K–10K,Trap,,,,,"Search '[genre] type beat 2026' → filter by Channel → pick channels with 1K–10K subs"
9,[YouTube Find],YouTube,,1K–10K,Drill,,,,,
10,[YouTube Find],YouTube,,1K–10K,Melodic Trap,,,,,
11,[TikTok Find],TikTok,,1K–50K,Type Beats,,,,,"Search #typebeat on TikTok → sort by Top → DM creators"
12,[TikTok Find],TikTok,,1K–50K,Type Beats,,,,,
13,[Instagram Find],Instagram,,500–10K,Beats,,,,,"Search #typebeat on IG → look at posts from last 7 days"
14,[Instagram Find],Instagram,,500–10K,Beats,,,,,
15,[Twitter Find],Twitter,,500–5K,Producer,,,,,"Search 'type beat' on X → filter People → bio says 'producer' or 'beats'"
16,[Twitter Find],Twitter,,500–5K,Producer,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
,,,,,,,,,,"BATCH RULES: Max 10 DMs per session | Reference something specific about their work | Follow up once after 5 days of no reply | Track every DM above"
,,,,,,,,,,"REPLY COLUMN: Y = replied | N = no reply | SIGNED UP: Y = confirmed free/pro signup"
